track_id,album_id,track_name,track_duration_ms,track_spotify_url,track_preview_url,track_duration_display,original_track_name
0bL5tco8cV95q5FNFzxzUS,1AxMcdQRLguJqSZMxvRNdO,Get Close,250723,https://open.spotify.com/track/0bL5tco8cV95q5FNFzxzUS,,4:10,Get Close
0bl7OZPMqSC06GM2sX4nQc,4yjFzAgg5VcidLwoZiQmbi,Danny's Chant,198640,https://open.spotify.com/track/0bl7OZPMqSC06GM2sX4nQc,https://p.scdn.co/mp3-preview/7012d9181ba480dda07cce8bedcf346c66b0e538?cid=bdda3e704a834f918700d9e4e4b07e63,3:18,Danny's Chant
0bNdtECaLZcHA4B9QPjeUk,3JV6BIIXo3mj6GLIGH9p8a,The Real Me,200706,https://open.spotify.com/track/0bNdtECaLZcHA4B9QPjeUk,,3:20,The Real Me
0BowNHHxtXVyLMXxS31LBe,39Ti6Be9Ak2d6YbxlQo0Ba,Love Me Do - 2023 Mix,145640,https://open.spotify.com/track/0BowNHHxtXVyLMXxS31LBe,,2:25,Love Me Do
0bPg0OA0ep90qVCYfymwO6,0BiNb8HYR4JvuxUa31Z58Q,Try Not To Breathe,230573,https://open.spotify.com/track/0bPg0OA0ep90qVCYfymwO6,,3:50,Try Not To Breathe
0brCwVt3kQES8K9qpJorQo,5ChHkKb5VhZe0pgQRsvpek,The Fletcher Memorial Home - 2011 Remaster,251373,https://open.spotify.com/track/0brCwVt3kQES8K9qpJorQo,https://p.scdn.co/mp3-preview/8504fc5b2ff41fac69da74261ce6446ebb88a018?cid=bdda3e704a834f918700d9e4e4b07e63,4:11,The Fletcher Memorial Home
0brL7VMo7onJJTGMSdajic,6ICrBzsbHVluGHP8wGK4Y3,Molly's Lips - BBC John Peel Session 1990,114133,https://open.spotify.com/track/0brL7VMo7onJJTGMSdajic,,1:54,Molly's Lips
0Bs0hUYxz7REyIHH7tRhL2,1klALx0u4AavZNEvC4LrTL,Helter Skelter - Remastered 2009,269786,https://open.spotify.com/track/0Bs0hUYxz7REyIHH7tRhL2,,4:29,Helter Skelter
0bSHWVsZ0kmDOY5oehzA92,0Fke5eiQ6lszQHlwiFygqn,The Gnome - 2011 Remaster,134080,https://open.spotify.com/track/0bSHWVsZ0kmDOY5oehzA92,https://p.scdn.co/mp3-preview/3022510936e91a76dabc2d31247c48f36b170332?cid=bdda3e704a834f918700d9e4e4b07e63,2:14,The Gnome
0bTLGlCqwZXwJGWGE2Dywg,2UJcKiJxNryhL050F5Z1Fk,Drain You,223880,https://open.spotify.com/track/0bTLGlCqwZXwJGWGE2Dywg,,3:43,Drain You
0bvUniZSQsrFXRyVaRZsB9,4Ktz8mPkDmGBQ1nRWNulV9,Where You Belong,132506,https://open.spotify.com/track/0bvUniZSQsrFXRyVaRZsB9,https://p.scdn.co/mp3-preview/e3a4b80f7b63ee7e8f9b01566a685f50b9b8b199?cid=bdda3e704a834f918700d9e4e4b07e63,2:12,Where You Belong
0BWE9de3FuAWwcPbv60e68,2WGzXMW0t9Zo7raTRUYDzB,School Day (Ring! Ring! Goes The Bell) - Remastered 2000,173773,https://open.spotify.com/track/0BWE9de3FuAWwcPbv60e68,,2:53,School Day (Ring! Ring! Goes The Bell)
0BzhS74ByIVlyz8BedHaYi,5kffKW0sSLo6tkLg1veUGC,Innuendo - Remastered 2011,393026,https://open.spotify.com/track/0BzhS74ByIVlyz8BedHaYi,,6:33,Innuendo
0C6U1XFXMt5xMAtLLH6IrS,60eR5X7jp8eSwlOSXbz5Qk,Walking on the Edge (2015 - Remaster),309360,https://open.spotify.com/track/0C6U1XFXMt5xMAtLLH6IrS,https://p.scdn.co/mp3-preview/d3ed41c23eed4facb090917d96ef0b9d174a7b0a?cid=bdda3e704a834f918700d9e4e4b07e63,5:9,Walking on the Edge (2015
0C7w4XnkIGu11MpNWbiTLB,5efoVI6WIhxLCIrbZuxwBu,Not Fade Away - Mono Version,107720,https://open.spotify.com/track/0C7w4XnkIGu11MpNWbiTLB,,1:47,Not Fade Away
0C80GCp0mMuBzLf3EAXqxv,6mUdeDZCsExyJLMdAfDuwh,Shoot to Thrill,317426,https://open.spotify.com/track/0C80GCp0mMuBzLf3EAXqxv,https://p.scdn.co/mp3-preview/98123a7d31111d0d9a61c21d4ce6e9215a8f5903?cid=bdda3e704a834f918700d9e4e4b07e63,5:17,Shoot to Thrill
0C8y4qDjdtLso0Iww35FRO,39kme3iLwVpllmUCxrkcPn,Up On The Mountain,306153,https://open.spotify.com/track/0C8y4qDjdtLso0Iww35FRO,,5:6,Up On The Mountain
0CaBBQsaAiRHhiLmzi7ZRp,0jTGHV5xqHPvEcwL8f6YU5,Two Of Us - Remastered 2009,216813,https://open.spotify.com/track/0CaBBQsaAiRHhiLmzi7ZRp,,3:36,Two Of Us
0cCApinL6pNKz5HC4ptxSp,3oyjbpNQs5Qm5DNVJW4AlV,Sparks Will Fly - Remastered,195466,https://open.spotify.com/track/0cCApinL6pNKz5HC4ptxSp,,3:15,Sparks Will Fly
0CcndW9nWYAgr73IHQmBZC,400D8LXbvMuOzi4lVv89FM,The Devil's In The Temple,197906,https://open.spotify.com/track/0CcndW9nWYAgr73IHQmBZC,,3:17,The Devil's In The Temple
0CdKxtmmGK9s3LAMebRPI4,45i41n53udGyswkJ9uR8pB,My Heart Beat Like A Hammer - Take 1,222733,https://open.spotify.com/track/0CdKxtmmGK9s3LAMebRPI4,https://p.scdn.co/mp3-preview/24e2d67a35c5d0d0ad67b65b9d10bb9b77ea84b5?cid=bdda3e704a834f918700d9e4e4b07e63,3:42,My Heart Beat Like A Hammer
0cdZhAYmSWg1frM5vzVX4g,4M7593HF3Darbg1q1dJuai,Homeward Strut (Live in Long Beach 1976),355320,https://open.spotify.com/track/0cdZhAYmSWg1frM5vzVX4g,https://p.scdn.co/mp3-preview/a0647213e04ad92104dfefb45ba5a2d9902d0639?cid=bdda3e704a834f918700d9e4e4b07e63,5:55,Homeward Strut (Live in Long Beach 1976)
0CE9O0JRZPDBlLg8wf9qJo,1ffVrnHH8i2POp5M7AzEDi,Dead Against It,348093,https://open.spotify.com/track/0CE9O0JRZPDBlLg8wf9qJo,https://p.scdn.co/mp3-preview/34cecedfb89c53e06e28bf2130fbe24ac7bc811b?cid=bdda3e704a834f918700d9e4e4b07e63,5:48,Dead Against It
