date,track_id,track_popularity
2023-12-28,0bd7G4Da6F9FtVB8oh0To1,23
2023-12-28,0bE5gJJno8d6jBLgqHmx7k,28
2023-12-28,0Bg100ruK1ZD7H96rNo6fR,58
2023-12-28,0bGiTPrxCIFs7lZS9knvRS,51
2023-12-28,0BGxSJtT95M3PeibojMHmZ,42
2023-12-28,0bhI3m82sAax3LVDpuqaWu,55
2023-12-28,0bj5fZzyzTDIwV8HF2m1tM,14
2023-12-28,0bL5tco8cV95q5FNFzxzUS,63
2023-12-28,0bl7OZPMqSC06GM2sX4nQc,22
2023-12-28,0bNdtECaLZcHA4B9QPjeUk,47
2023-12-28,0BowNHHxtXVyLMXxS31LBe,56
2023-12-28,0bPg0OA0ep90qVCYfymwO6,47
2023-12-28,0brCwVt3kQES8K9qpJorQo,40
2023-12-28,0brL7VMo7onJJTGMSdajic,58
2023-12-28,0Bs0hUYxz7REyIHH7tRhL2,60
2023-12-28,0bSHWVsZ0kmDOY5oehzA92,35
2023-12-28,0bTLGlCqwZXwJGWGE2Dywg,62
2023-12-28,0bvUniZSQsrFXRyVaRZsB9,10
2023-12-28,0BWE9de3FuAWwcPbv60e68,9
2023-12-28,0BzhS74ByIVlyz8BedHaYi,59
2023-12-28,0C6U1XFXMt5xMAtLLH6IrS,30
2023-12-28,0C7w4XnkIGu11MpNWbiTLB,49
2023-12-28,0C80GCp0mMuBzLf3EAXqxv,73
2023-12-28,0C8y4qDjdtLso0Iww35FRO,20
2023-12-28,0CaBBQsaAiRHhiLmzi7ZRp,57
2023-12-28,0cCApinL6pNKz5HC4ptxSp,34
2023-12-28,0CcndW9nWYAgr73IHQmBZC,29
2023-12-28,0CdKxtmmGK9s3LAMebRPI4,18
2023-12-28,0cdZhAYmSWg1frM5vzVX4g,8
2023-12-28,0CE9O0JRZPDBlLg8wf9qJo,20
2023-12-28,0ceiaIt30eHqeKF29ddCOz,19
2023-12-28,0CGbof9amBnsNlRhZ8IY2H,52
2023-12-28,0CJDCshSHfXUxJubtd20Zw,13
2023-12-28,0cJHpIkQV1QBpMUQ5EcbDo,33
2023-12-28,0CKvH3vdAIQsjq2SxWwY2n,31
2023-12-28,0CKxrnF9KplS21LTjkkqsW,60
2023-12-28,0cLvKgKkqlaJ9UajbitH4l,59
2023-12-28,0cly8Vmk7mRkAS1H3EVN2p,9
2023-12-28,0cMKrU2WjsdfeagFtZUQ13,29
2023-12-28,0cMlzsdIsxG3sXFI5JIFNm,20
2023-12-28,0Cq7FAM0nK4xRXL5dSbGIS,35
2023-12-28,0Cr3z2gm7TXQ17Yq1zjV4I,55
2023-12-28,0CT0tNJzauc6I4LUg9ESPw,47
2023-12-28,0cTF7AXUMetMKhwxaHSN2K,25
2023-12-28,0cTJjrS2ghY861WjAvN8v8,18
2023-12-28,0cuawnxMvyCBwZbXtaTxmY,51
2023-12-28,0cuiu7deGyY5kSKZgMEyaJ,34
2023-12-28,0cv2LgkvEoQiGgFWcZaAMA,49
2023-12-28,0cVDbVhTxULLt5Pt7Ws8yp,35
2023-12-28,0CxcNZFoAULGLih1zDG1o2,27
2023-12-28,0CZQNI3Evb4Nd8GeU49LFj,49
2023-12-28,0d0fbLdm4bxWsmga3kFA7a,18
2023-12-28,0D58ERdLBDRgT86BPnH8ps,50
2023-12-28,0D5fPpdp0rSR8I1ad1V1V2,23
2023-12-28,0D5hODcjdnKjFmTdqfMGHa,33
2023-12-28,0d6ACIMLp9zoGirC5HVPtq,27
2023-12-28,0dco6ZSO8vnL2fHRi10XSY,47
2023-12-28,0ddAOK2oVYLbBuWpyqLNVB,27
2023-12-28,0de51E66GElR01qxNAB8kE,14
2023-12-28,0DEslRB6ry2swHIY0aaNzY,41
2023-12-28,0df15uIXfk3GdUQYjQNJYe,27
2023-12-28,0DfzyO0KAyJ2J8M2UGlw9F,30
2023-12-28,0dlTGl67UFWcKupzkxZYOn,71
2023-12-28,0dmpYPil2KsH6aY5OI4XC8,21
2023-12-28,0dSxQIAUGw75lq0x06ig8J,37
2023-12-28,0ducHx1R45CnEloZ6tUVuC,46
2023-12-28,0dXABNmo2aAdbmtRTzF1F2,34
2023-12-28,0dY2imDqcunCyIWoBfrcxB,38
2023-12-28,0DZwrC4QQOYqpcxCeZzwDg,49
2023-12-28,0E1dr4uLVabLlieKbkMdPt,26
2023-12-28,0e1rSCRVwy2mIEkrr6Vcx1,29
2023-12-28,0E8c1SOcBs3E9ILMf9x6cg,9
2023-12-28,0ECEzvs4Sy49nYbvEFL3Xw,43
2023-12-28,0eDz3J45wmyjZUatkuOVqm,12
2023-12-28,0EF4KrU0dJ0lBEkqMyzlIi,47
2023-12-28,0Ef5raJAGlH24bGfOByYOF,31
2023-12-28,0eF801IbnGoiHMlGjaLlZ0,40
2023-12-28,0EhhRq90FVkx8Rv1vzZUOG,42
2023-12-28,0EJCZM5mVoJjA1MxcoZE6O,40
2023-12-28,0ElACz4PhK5eWFpcAj2KCK,24
2023-12-28,0eLVt8CGVdNnyMcfP38kDi,51
2023-12-28,0emy2KUGnNZWIZx8DEfxDi,21
2023-12-28,0ENGJrM4g0kODzoWGHjqOr,32
2023-12-28,0EOo4bO2Oiido5FnB7mVFN,46
2023-12-28,0eRyOunOVBChlXxIvqwOxH,46
2023-12-28,0ESIjVxnDnCDaTPo6sStHm,62
2023-12-28,0EtgP3pfCIDvEcu8dfJA7d,25
2023-12-28,0EW1kxvUYsdiG3mgJgOWL5,31
2023-12-28,0eW6LK9xeddRp1u5BnfrjW,40
2023-12-28,0EweTP2hYmXQ8JJES651Nm,28
2023-12-28,0EWgeEe6V7mnwveKzGVbVF,26
2023-12-28,0ExFnl9HJpdxoJ33YlvpzZ,11
2023-12-28,0ExjS2TkTWgmJdoXCa7rNx,37
2023-12-28,0EY1Z9UmZnYZyM7zHs6C0j,60
