track_id,uri,track_href,analysis_url,duration_ms,time_signature,danceability,energy,track_key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type
03NF9rg69hBxXvJBLEUMVa,spotify:track:03NF9rg69hBxXvJBLEUMVa,https://api.spotify.com/v1/tracks/03NF9rg69hBxXvJBLEUMVa,https://api.spotify.com/v1/audio-analysis/03NF9rg69hBxXvJBLEUMVa,177773,4,0.533,0.302,8,-14.084,0,0.0304,0.879,0.0,0.161,0.44,87.711,audio_features
03rYstpVMEnZfLfeacg9Wc,spotify:track:03rYstpVMEnZfLfeacg9Wc,https://api.spotify.com/v1/tracks/03rYstpVMEnZfLfeacg9Wc,https://api.spotify.com/v1/audio-analysis/03rYstpVMEnZfLfeacg9Wc,191320,4,0.606,0.79,11,-9.144,1,0.0375,0.342,4.12e-05,0.0465,0.973,96.53,audio_features
03vKJ7maWJmTujLaMec31X,spotify:track:03vKJ7maWJmTujLaMec31X,https://api.spotify.com/v1/tracks/03vKJ7maWJmTujLaMec31X,https://api.spotify.com/v1/audio-analysis/03vKJ7maWJmTujLaMec31X,57400,4,0.64,0.473,4,-9.604,0,0.054,0.06,0.0,0.185,0.958,125.503,audio_features
0444oMfo5haQwGZyV8dv8p,spotify:track:0444oMfo5haQwGZyV8dv8p,https://api.spotify.com/v1/tracks/0444oMfo5haQwGZyV8dv8p,https://api.spotify.com/v1/audio-analysis/0444oMfo5haQwGZyV8dv8p,167493,4,0.658,0.503,7,-12.54,1,0.0779,0.131,0.00146,0.2,0.698,173.325,audio_features
04bW8lrW5HPMv5WZJWqvL1,spotify:track:04bW8lrW5HPMv5WZJWqvL1,https://api.spotify.com/v1/tracks/04bW8lrW5HPMv5WZJWqvL1,https://api.spotify.com/v1/audio-analysis/04bW8lrW5HPMv5WZJWqvL1,404293,4,0.566,0.973,11,-7.857,0,0.113,0.00136,0.311,0.351,0.177,129.956,audio_features
04duTG1TaN5VIIVdBfjeMR,spotify:track:04duTG1TaN5VIIVdBfjeMR,https://api.spotify.com/v1/tracks/04duTG1TaN5VIIVdBfjeMR,https://api.spotify.com/v1/audio-analysis/04duTG1TaN5VIIVdBfjeMR,162133,4,0.67,0.714,7,-11.49,1,0.0401,0.152,0.00136,0.142,0.51,100.631,audio_features
04FHJ4VUAb1IR3qFecph0U,spotify:track:04FHJ4VUAb1IR3qFecph0U,https://api.spotify.com/v1/tracks/04FHJ4VUAb1IR3qFecph0U,https://api.spotify.com/v1/audio-analysis/04FHJ4VUAb1IR3qFecph0U,200361,3,0.558,0.744,2,-11.51,1,0.0505,0.329,0.26,0.0812,0.753,104.514,audio_features
04jOKgVUr1B5KkDALNgdP9,spotify:track:04jOKgVUr1B5KkDALNgdP9,https://api.spotify.com/v1/tracks/04jOKgVUr1B5KkDALNgdP9,https://api.spotify.com/v1/audio-analysis/04jOKgVUr1B5KkDALNgdP9,270560,4,0.377,0.907,2,-6.635,1,0.0548,0.00477,0.0583,0.21,0.658,157.093,audio_features
04LFZf53xrN6zOfgXC32uU,spotify:track:04LFZf53xrN6zOfgXC32uU,https://api.spotify.com/v1/tracks/04LFZf53xrN6zOfgXC32uU,https://api.spotify.com/v1/audio-analysis/04LFZf53xrN6zOfgXC32uU,179933,4,0.57,0.911,9,-3.345,0,0.0378,0.00256,0.0249,0.297,0.373,104.006,audio_features
04pkbLDMnaQdx4kV9bbuV4,spotify:track:04pkbLDMnaQdx4kV9bbuV4,https://api.spotify.com/v1/tracks/04pkbLDMnaQdx4kV9bbuV4,https://api.spotify.com/v1/audio-analysis/04pkbLDMnaQdx4kV9bbuV4,313654,3,0.664,0.854,7,-7.349,1,0.0376,0.141,0.0,0.0717,0.738,101.873,audio_features
04UsGrg02dEMLnTZdBNyRI,spotify:track:04UsGrg02dEMLnTZdBNyRI,https://api.spotify.com/v1/tracks/04UsGrg02dEMLnTZdBNyRI,https://api.spotify.com/v1/audio-analysis/04UsGrg02dEMLnTZdBNyRI,144733,4,0.562,0.97,0,-5.974,1,0.207,0.027,0.00449,0.0636,0.494,122.916,audio_features
04vwfsTxk11Q7cHMdGuM0c,spotify:track:04vwfsTxk11Q7cHMdGuM0c,https://api.spotify.com/v1/tracks/04vwfsTxk11Q7cHMdGuM0c,https://api.spotify.com/v1/audio-analysis/04vwfsTxk11Q7cHMdGuM0c,219107,4,0.448,0.745,0,-4.956,0,0.0542,0.205,0.0,0.166,0.393,154.09,audio_features
04vz8BJFBni7nSGupQP1xh,spotify:track:04vz8BJFBni7nSGupQP1xh,https://api.spotify.com/v1/tracks/04vz8BJFBni7nSGupQP1xh,https://api.spotify.com/v1/audio-analysis/04vz8BJFBni7nSGupQP1xh,314093,4,0.5,0.767,2,-7.96,1,0.0507,0.0933,0.00924,0.0926,0.643,135.513,audio_features
04xL9hK4YCE8PjXOsx24oN,spotify:track:04xL9hK4YCE8PjXOsx24oN,https://api.spotify.com/v1/tracks/04xL9hK4YCE8PjXOsx24oN,https://api.spotify.com/v1/audio-analysis/04xL9hK4YCE8PjXOsx24oN,469427,4,0.286,0.886,9,-4.806,0,0.0391,4.47e-05,0.508,0.113,0.534,143.961,audio_features
04XOESV0aVnKMlUU1NhIG1,spotify:track:04XOESV0aVnKMlUU1NhIG1,https://api.spotify.com/v1/tracks/04XOESV0aVnKMlUU1NhIG1,https://api.spotify.com/v1/audio-analysis/04XOESV0aVnKMlUU1NhIG1,78667,3,0.366,0.398,5,-11.527,1,0.0367,0.873,2.9e-06,0.13,0.181,117.705,audio_features
050WzEAzwEQV87v8m1Oqnb,spotify:track:050WzEAzwEQV87v8m1Oqnb,https://api.spotify.com/v1/tracks/050WzEAzwEQV87v8m1Oqnb,https://api.spotify.com/v1/audio-analysis/050WzEAzwEQV87v8m1Oqnb,264800,4,0.477,0.739,2,-7.807,1,0.0311,0.0138,8.11e-06,0.245,0.708,154.31,audio_features
