date,artist_id,artist_popularity
2024-01-06,0ECwFtbIWEVNwjlrfc6xoL,76
2024-01-06,0k17h0D3J5VfsdmQ1iZtE9,78
2024-01-06,0L8ExT028jH3ddEcZwqJJ5,82
2024-01-06,0oSGxfWSnnOXhD2fKuz2Gy,76
2024-01-06,0WwSkZ7LtFUFjGjMZBMt6T,74
2024-01-06,1dfeR4HaWDbWqFHLkxsg1d,84
2024-01-06,22bE4uQ6baNwSHPVcDxLCe,78
2024-01-06,22WZ7M8sxp5THdruNY3gXt,71
2024-01-06,27T030eWyCQRmDyuvr1kxY,71
2024-01-06,2AM4ilv6UzW0uMRuqKtDgN,67
2024-01-06,36QJpDe2go2KgaRleHCDTp,75
2024-01-06,3ICflSq6ZgYAIrm2CTkfVP,63
2024-01-06,3oDbviiivRWhXwIE8hxkVV,75
2024-01-06,3qm84nBOXUEQ2vnTfUTTFC,78
2024-01-06,3WrFJ7ztbogyGnTHbHJFl2,83
2024-01-06,4KWTAlx2RvbpseOGMEmROg,72
2024-01-06,4MVyzYMgTwdP7Z49wAZHx0,70
2024-01-06,4Z8W4fKeB5YxbusRsdQVPb,80
2024-01-06,51Blml2LZPmy7TTiAg47vQ,77
2024-01-06,568ZhdwyaiCyOGJRtNYhWf,64
2024-01-06,58lV9VcRSjABbAbfWS6skp,76
2024-01-06,5NGO30tJxFlKixkPSgXcFE,75
2024-01-06,67ea9eGLXYMsO2eYQRui3w,66
2024-01-06,6olE6TJLqED3rqDCT0FyPh,80
2024-01-06,6PAt558ZEZl0DmdXlnjMgD,70
2024-01-06,6zvul52xwTWzilBZl6BUbT,69
2024-01-06,711MCceyCBcFnzjGY4Q7Un,79
2024-01-06,776Uo845nYHJpNaStv1Ds4,68
2024-01-06,7Ey4PD4MYsKc5I2dolUwbH,74
2024-01-07,08GQAI4eElDnROBrJRGE0X,80
2024-01-07,0ECwFtbIWEVNwjlrfc6xoL,76
2024-01-07,0k17h0D3J5VfsdmQ1iZtE9,78
2024-01-07,0L8ExT028jH3ddEcZwqJJ5,82
2024-01-07,0oSGxfWSnnOXhD2fKuz2Gy,76
2024-01-07,0WwSkZ7LtFUFjGjMZBMt6T,74
2024-01-07,1dfeR4HaWDbWqFHLkxsg1d,84
2024-01-07,22bE4uQ6baNwSHPVcDxLCe,78
